,at,like,loc,re,tag,time,twit
0,[montgomeriefdn],2800.0,,1000.0,,4:36 PM - 20 May 2016,"@montgomeriefdn  Colin, great to have you at Trump Turnberry. So proud of you and your GREAT playing! You made winning MAJORS look easy!"
1,"[montgomeriefdn, TrumpTurnberry]",7500.0,,1800.0,,4:27 PM - 20 May 2016,"""@montgomeriefdn: @TrumpTurnberry Best Links Course in Britain. Ailsa Course opens June '16 Can't wait to play it pic.twitter.com/HnQbj3ipuS"""
2,[TGowdySC],13000.0,,4600.0,[Trump2016],3:50 PM - 20 May 2016,Thank you for your wonderful endorsement today @TGowdySC. It means a great deal to me. We will not disappoint! #Trump2016
3,[NRA],14000.0,,4400.0,"[MakeAmericaGreatAgain, Trump2016]",2:55 PM - 20 May 2016,"Great day in Kentucky with Wayne LaPierre, Chris Cox & the @NRA! 
#MakeAmericaGreatAgain #Trump2016pic.twitter.com/aJ7s0aqqj0"
4,"[NRA, GOPconvention]",16000.0,,6600.0,"[Trump2016, 2A, NRA, NRAAM]",1:06 PM - 20 May 2016,Thank you! An honor to be the first candidate ever endorsed by the @NRA- prior to @GOPconvention! #Trump2016 #2Ahttps://twitter.com/nra/status/733731153719525377 …
5,[nytimes],12000.0,United States,3600.0,,9:11 AM - 20 May 2016,Failing @NYTimes will always take a good story about me and make it bad. Every article is unfair and biased. Very sad!
6,[piersmorgan],15000.0,United States,4700.0,,9:09 AM - 20 May 2016,"Thanks @piersmorgan! 
""Trump is the most unpredictable, extraordinary, entertaining&massively popular candidate this country has ever seen."""
7,[NRA],11000.0,,6300.0,"[SecondAmendment, 2A]",8:36 AM - 20 May 2016,Crooked Hillary Clinton- discussing the #SecondAmendment at a private event. #2A cc: @NRApic.twitter.com/vV31Pbpkmn
8,,7600.0,"New York, NY",2700.0,[NRAAM],8:15 AM - 20 May 2016,I am on my way! See you all soon!https://twitter.com/nra/status/733656029322457088 …
9,[JasonDovEsq],6000.0,,2000.0,,7:30 AM - 20 May 2016,"""A Call for Unity"" by Jason Greenblatt @JasonDovEsqhttps://medium.com/@jgreenblatt/a-call-for-unity-2e7a33eceef3#.k45jbtw9t …"
10,,20000.0,,6200.0,,3:26 AM - 20 May 2016,Crooked Hillary can't even close the deal with Bernie - and the Dems have it rigged in favor of Hillary. Four more years of this? No way!
11,,18000.0,,6100.0,,3:08 AM - 20 May 2016,Crooked Hillary Clinton looks presidential? I don't think so! Four more years of Obama and our country will never come back. ISIS LAUGHS!
12,,17000.0,,5900.0,,2:58 AM - 20 May 2016,"Look where the world is today, a total mess, and ISIS is still running around wild. I can fix it fast, Hillary has no chance!"
13,,14000.0,,4700.0,,2:47 AM - 20 May 2016,"Crooked Hillary has zero imagination and even less stamina. ISIS, China, Russia and all would love for her to be president. 4 more years!"
14,,17000.0,,5400.0,,2:40 AM - 20 May 2016,"I said that Crooked Hillary Clinton is ""not qualified"" to be president because she has ""very bad judgement"" - Bernie said the same thing!"
15,[LtStevenLRogers],13000.0,,4900.0,,12:36 PM - 19 May 2016,Thank you @LtStevenLRogers. We will respond to terrorism with strength in 2017!https://amp.twimg.com/v/55610e7e-e370-4f5e-a031-0098a264184d …
16,[nytimes],18000.0,,5200.0,,10:29 AM - 19 May 2016,How quality a woman is Rowanne Brewer Lane to have exposed the @nytimes as a disgusting fraud?  Thank you Rowanne.
17,,35000.0,,13000.0,,3:27 AM - 19 May 2016,"Looks like yet another terrorist attack. Airplane departed from Paris. When will we get tough, smart and vigilant? Great hate and sickness!"
18,,17000.0,,4700.0,,7:52 PM - 18 May 2016,My list of potential U.S. Supreme Court Justices was very well recieved. During the next number of weeks I may be adding to the list!
19,[nytimes],16000.0,,4700.0,,6:54 PM - 18 May 2016,"Some low-life journalist claims that I ""made a pass"" at her 29 years ago. Never happened! Like the @nytimes story which has become a joke!"
20,,15000.0,,4900.0,[Trump2016],10:47 AM - 18 May 2016,Thank you Louisiana! #Trump2016pic.twitter.com/u8hhrRRFMp
21,,14000.0,,4300.0,[MakeAmericaGreatAgain],10:38 AM - 18 May 2016,"Thank you Arizona! See you soon!
#MakeAmericaGreatAgainpic.twitter.com/IC3pe5lRAS"
22,[AlisonForKY],11000.0,,3600.0,,9:39 AM - 18 May 2016,Why did Clinton supporter @AlisonForKY declare Crooked Hillary winner in KY when AP hasn't even called the race?
23,,21000.0,,7400.0,,4:20 AM - 18 May 2016,Bernie Sanders is being treated very badly by the Democrats - the system is rigged against him. Many of his disenfranchised fans are for me!
24,[CNN],13000.0,,4800.0,,9:22 PM - 17 May 2016,"Paul Begala, the dopey @CNN flunky and head of the Pro-Hillary Clinton Super PAC, has knowingly committed fraud in his first ad against me."
25,"[ShoneeP, realDonaldTrump]",9900.0,,3100.0,,9:03 PM - 17 May 2016,"""@ShoneeP: @realDonaldTrump Trump for President! Bernie is a joke, knows nothing - and Hillary is yesterday's and today's nightmare"""
26,[MagicMetalNinja],11000.0,,3700.0,[AmericaFIRST],8:46 PM - 17 May 2016,"""@MagicMetalNinja:  The Trump movement will not be stopped. We support Trump because he is a true American looking out for #AmericaFIRST."""
27,,22000.0,,6500.0,,8:24 PM - 17 May 2016,"Congratulations to THE MOVEMENT, we have just won THE GREAT STATE OF OREGON. The vote percentage is even higher than anticipated! Thank you."
28,,15000.0,,4900.0,"[Trump2016, MakeAmericaGreatAgain]",8:15 PM - 17 May 2016,"Thank you Oregon! #Trump2016
#MakeAmericaGreatAgainpic.twitter.com/hK1yqlp9ca"
29,"[LouDobbs, realDonaldTrump]",10000.0,,3600.0,[MakeAmericaGreatAgain],7:41 PM - 17 May 2016,"""@LouDobbs: Hillary Just Handed @realDonaldTrump a Huge Gift: Promising to Put Bubba in Charge of the Economy! #MakeAmericaGreatAgain!"
30,"[sandrajeanne48, TheFive]",10000.0,,3500.0,,7:40 PM - 17 May 2016,"""@sandrajeanne48: No way I believe Trump at 70% disapproval with women. Went to 3 rallies. At least 1/2 women. MSM LIES @TheFive"""
31,[nytimes],10000.0,,3100.0,,7:38 PM - 17 May 2016,"Michael Barbaro, the author of the now discredited @nytimes hit piece on me with women, has in past tweeted badly about me. He should resign"
32,"[michael_favreau, JIS3, realDonaldTrump]",7600.0,,2200.0,,7:14 PM - 17 May 2016,"""@michael_favreau: @JIS3 @realDonaldTrump He will destroy Hillary but why give CNN record breaking ratings CNN can go to hell. Trump 2016"""
33,,22000.0,,8000.0,,6:53 PM - 17 May 2016,"I look so forward to debating Crooked Hillary Clinton! Democrat Primaries are rigged, e-mail investigation is rigged - so time to get it on!"
34,[CNN],13000.0,,4400.0,,6:49 PM - 17 May 2016,I can't believe that @CNN would allow the very nice Jeffrey Lord to be savaged by a panel of seven Trump haters. 7 to 1 - Don't watch CNN!
35,"[COWBOYSFORTRUMP, ChristiChat, Rockprincess818, realDonaldTrump]",7100.0,,2000.0,,6:37 PM - 17 May 2016,"""@COWBOYSFORTRUMP: @ChristiChat @Rockprincess818 @realDonaldTrump That man is a pillar of strength and will be perfect as our next president"
36,,16000.0,,4000.0,,6:04 PM - 17 May 2016,"Well, that is it. Well done Megyn --- and they all lived happily ever after! Now let us all see how ""THE MOVEMENT"" does in Oregon tonight!"
37,,6300.0,,1100.0,,5:57 PM - 17 May 2016,Will go back on for a final question now!
